"squad,""logo"",""logo_laliga"", ""team_color"""
"Almería,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/almeria.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/almeria.png"", ""#ee1119"""
"Athletic Club,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/athletic.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/athletic.png"", ""#EE2523"""
"Atlético Madrid,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/atletico.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/atletico.png"", ""#CB3524"""
"Barcelona,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/barcelona.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/barcelona.png"", ""#A50044"""
"Betis,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/betis.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/betis.png"", ""#0BB363"""
"Cádiz,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/cadiz.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/cadiz.png"", ""#fde607"""
"Celta Vigo,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/celta.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/celta.png"", ""#8AC3EE"""
"Elche,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/elche.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/elche.png"", ""#05642c"""
"Espanyol,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/espanyol.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/espanyol.png"", ""#007FC8"""
"Getafe,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/getafe.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/getafe.png"", ""#005999"""
"Girona,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/girona.png"",""https://assets.laliga.com/assets/2022/06/22/xsmall/8f43addbb29e4a72f5e90b6edfe4728f.png"", ""#cd2534"""
"Mallorca,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/mallorca.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/mallorca.png"", ""#E20613"""
"Osasuna,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/osasuna.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/osasuna.png"",""#D91A21"""
"Rayo Vallecano,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/rayo.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/rayo.png"",""#e53027"""
"Real Madrid,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/real-madrid.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/real-madrid.png"",""#00529F"""
"Real Sociedad,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/real-sociedad.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/real-sociedad.png"",""#0067B1"""
"Sevilla,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/sevilla.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/sevilla.png"",""#F43333"""
"Valencia,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/valencia.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/valencia.png"",""#EE3524"""
"Valladolid,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/valladolid.png"",""https://assets.laliga.com/assets/2022/06/20/xsmall/df95a3c6f33fab742cc50071d496a4c0.png"",""#921B88"""
"Villarreal,""https://github.com/pablosuarezsucunza/Laliga/blob/main/22-23%20logos/villarreal.png"",""https://assets.laliga.com/assets/2019/06/07/xsmall/villarreal.png"", ""#FFE667"""
